sku,magmi:delete,_attribute_set,_type
lego-city-60088--feuerwehr-starterset,1,Toys,simple
lego-city-60086--starterset,1,Toys,simple
lego-city-60004--feuerwehrhauptquartier,1,Toys,simple
lego-duplo-6176--grundbausteine,1,Toys,simple
lego-city-60060--autotransporter,1,Toys,simple
lego-city-60057--wohnmobil-mit-kanu,1,Toys,simple
lego-city--60055--monster-truck,1,Toys,simple
lego-city-60048--gaunerversteck,1,Toys,simple
lego-city--60047--ausbruch-aus-der-polizeistation,1,Toys,simple
lego-60085--city-allradfahrzeug-mit-powerboot,1,Toys,simple
lego-city-60069--polizeiwache-im-sumpf,1,Toys,simple
lego-city--60050--bahnhof,1,Toys,simple
lego-hero-factory-44029--queen-beast-vs.-furno--evo-&-stormer,1,Toys,simple
lego-technic-42009--mobiler-schwerlastkran,1,Toys,simple
lego-hero-factory-44003--scarox,1,Toys,simple