sku,_store,_attribute_set,_type,categories,name,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Zielonka_15051,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka 异味杀手 Zilofresh 蛋形除味器, Acryl 蓝色",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>异味杀手 Zilofresh 蛋形冰箱除味器, Acryl 蓝色</h1><br>尺寸: <br>去除冰箱内异味：将洁灵卡异味杀手垫在潮湿的纸巾或毛巾上置于冰箱内密闭约1-2个小时，冰箱内的异味即可消除。<br>h3&gt;特点:1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"异味杀手 Zilofresh 蛋形除味器, Acryl 蓝色","异味杀手 Zilofresh 蛋形除味器, Acryl 蓝色","异味杀手 Zilofresh 蛋形除味器, Acryl 蓝色 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,17.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,," Zilofresh , Acryl "," Zilofresh , Acryl .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15050,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka 异味杀手 Zilofresh 蛋形除味器, Acryl 白色",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>异味杀手 Zilofresh 蛋形冰箱除味器, Acryl 白色</h1><br>去除冰箱内异味：将洁灵卡异味杀手垫在潮湿的纸巾或毛巾上置于冰箱内密闭约1-2个小时，冰箱内的异味即可消除。<br>h3&gt;特点:1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>                                                                                          </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"异味杀手 Zilofresh 蛋形除味器, Acryl 白色","异味杀手 Zilofresh 蛋形除味器, Acryl 白色","异味杀手 Zilofresh 蛋形除味器, Acryl 白色 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,19.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,," Zilofresh , Acryl "," Zilofresh , Acryl .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15054,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka 异味杀手 Zilofresh 蛋形冰箱除味器, Acryl 红色",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>异味杀手 Zilofresh 蛋形冰箱除味器, Acryl 红色</h1><br>尺寸: <br>去除冰箱内异味：将洁灵卡异味杀手垫在潮湿的纸巾或毛巾上置于冰箱内密闭约1-2个小时，冰箱内的异味即可消除。<br>h3&gt;特点:1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"异味杀手 Zilofresh 蛋形冰箱除味器, Acryl 红色    ","异味杀手 Zilofresh 蛋形冰箱除味器, Acryl 红色    ","异味杀手 Zilofresh 蛋形冰箱除味器, Acryl 红色     - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,19.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,," Zilofresh , Acryl     "," Zilofresh , Acryl     .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15053,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka 异味杀手 Zilofresh 蛋形冰箱除味器, Acryl 紫色",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>异味杀手 Zilofresh 蛋形冰箱除味器, Acryl 紫色</h1><br>尺寸: <br>去除冰箱内异味：将洁灵卡异味杀手垫在潮湿的纸巾或毛巾上置于冰箱内密闭约1-2个小时，冰箱内的异味即可消除。<br>h3&gt;特点:1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"异味杀手 Zilofresh 蛋形冰箱除味器, Acryl 紫色    ","异味杀手 Zilofresh 蛋形冰箱除味器, Acryl 紫色    ","异味杀手 Zilofresh 蛋形冰箱除味器, Acryl 紫色     - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,19.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,," Zilofresh , Acryl     "," Zilofresh , Acryl     .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15017,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,Zielonka 冰箱内净化空气除味 异味杀手 异味杀手,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>冰箱内净化空气除味 异味杀手</h1><br>尺寸:不锈钢圆芯直径：5cm + 外壳：长13cm 高9cm 厚4,5cm<br>去除冰箱内异味：将洁灵卡异味杀手垫在潮湿的纸巾或毛巾上置于冰箱内密闭约1-2个小时，冰箱内的异味即可消除。<br><h3>特点:</h3>1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>                                                                </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,冰箱内净化空气除味 异味杀手 异味杀手,冰箱内净化空气除味 异味杀手 异味杀手,冰箱内净化空气除味 异味杀手 异味杀手 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,21.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,,  ,  .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15028,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka 冰箱-杯式空气除味, 蓝色",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>冰箱-杯式空气除味, 蓝色</h1><br>尺寸: 17,5 x 9 x 5 cm ; 50 g<br>去除冰箱内异味：将洁灵卡异味杀手垫在潮湿的纸巾或毛巾上置于冰箱内密闭约1-2个小时，冰箱内的异味即可消除。<br>h3&gt;特点:1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"冰箱-杯式空气除味, 蓝色","冰箱-杯式空气除味, 蓝色","冰箱-杯式空气除味, 蓝色 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,14.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,,"-, ","-, .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15030,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka 冰箱-杯式空气除味, 白色",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>冰箱-杯式空气除味, 白色</h1><br>尺寸: 17,5 x 9 x 5 cm ; 50 g<br>去除冰箱内异味：将洁灵卡异味杀手垫在潮湿的纸巾或毛巾上置于冰箱内密闭约1-2个小时，冰箱内的异味即可消除。<br>h3&gt;特点:1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>                                                                             </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"冰箱-杯式空气除味, 白色","冰箱-杯式空气除味, 白色","冰箱-杯式空气除味, 白色 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,14.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,,"-, ","-, .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15029,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka 冰箱-杯式空气除味, mint",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>冰箱-杯式空气除味, 薄荷</h1><br>尺寸: 17,5 x 9 x 5 cm ; 50 g<br>去除冰箱内异味：将洁灵卡异味杀手垫在潮湿的纸巾或毛巾上置于冰箱内密闭约1-2个小时，冰箱内的异味即可消除。<br>h3&gt;特点:1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>                                                                             </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"冰箱-杯式空气除味, mint","冰箱-杯式空气除味, mint","冰箱-杯式空气除味, mint - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,14.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,,"-, mint","-, mint.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15033,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka 冰箱-杯式空气除味, Acryl 粉红",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>冰箱-杯式空气除味, Acryl 粉红</h1><br>尺寸: 17,5 x 9 x 5 cm ; 50 g<br>去除冰箱内异味：将洁灵卡异味杀手垫在潮湿的纸巾或毛巾上置于冰箱内密闭约1-2个小时，冰箱内的异味即可消除。<br>h3&gt;特点:1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"冰箱-杯式空气除味, Acryl 粉红","冰箱-杯式空气除味, Acryl 粉红","冰箱-杯式空气除味, Acryl 粉红 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,14.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,,"-, Acryl ","-, Acryl .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15034,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka 冰箱-杯式空气除味, Acryl 白色",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>冰箱-杯式空气除味, Acryl 白色</h1><br>尺寸: 17,5 x 9 x 5 cm ; 50 g<br>去除冰箱内异味：将洁灵卡异味杀手垫在潮湿的纸巾或毛巾上置于冰箱内密闭约1-2个小时，冰箱内的异味即可消除。<br>h3&gt;特点:1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>                                                                       </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"冰箱-杯式空气除味, Acryl 白色","冰箱-杯式空气除味, Acryl 白色","冰箱-杯式空气除味, Acryl 白色 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,14.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,,"-, Acryl ","-, Acryl .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15032,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka 冰箱-杯式空气除味, Acryl 橙色",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>冰箱-杯式空气除味, Acryl 橙色</h1><br>尺寸: 17,5 x 9 x 5 cm ; 50 g<br>去除冰箱内异味：将洁灵卡异味杀手垫在潮湿的纸巾或毛巾上置于冰箱内密闭约1-2个小时，冰箱内的异味即可消除。<br>h3&gt;特点:1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"冰箱-杯式空气除味, Acryl 橙色","冰箱-杯式空气除味, Acryl 橙色","冰箱-杯式空气除味, Acryl 橙色 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,14.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,,"-, Acryl ","-, Acryl .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15031,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka 冰箱-杯式空气除味, Acryl Lila",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>冰箱-杯式空气除味, Acryl 紫色</h1><br>尺寸: 17,5 x 9 x 5 cm ; 50 g<br>去除冰箱内异味：将洁灵卡异味杀手垫在潮湿的纸巾或毛巾上置于冰箱内密闭约1-2个小时，冰箱内的异味即可消除。<br>h3&gt;特点:1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"冰箱-杯式空气除味, Acryl Lila","冰箱-杯式空气除味, Acryl Lila","冰箱-杯式空气除味, Acryl Lila - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,14.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,,"-, Acryl Lila","-, Acryl Lila.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_50150,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,Zielonka Zilogusto 除异味汤勺 蓝白,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zilogusto 除异味汤勺 蓝白</h1><br><h3>特点:</h3>1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,Zilogusto 除异味汤勺 蓝白                  ,Zilogusto 除异味汤勺 蓝白                  ,Zilogusto 除异味汤勺 蓝白                   - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,12.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,,Zilogusto                    ,Zilogusto                    .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_70006,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka Verdunster, 异味杀手 空气去味器含加湿功能 蓝色",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        Verdunster, blau    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"Verdunster, 异味杀手 空气去味器含加湿功能 蓝色","Verdunster, 异味杀手 空气去味器含加湿功能 蓝色","Verdunster, 异味杀手 空气去味器含加湿功能 蓝色 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,49.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,,,,,1,2,,,"Verdunster,   ","Verdunster,   .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
