sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Zwilling_78159-001-0,base,Manicure,simple,[Chinese Category]/美妆护肤/美妆工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 眉镊眉毛钳眉毛夹 斜头</h1><br>尺寸:9cm<br>1.医用不锈钢眉镊，安全，方便。<br>2.弹性设计的精巧眉镊，修整眉毛干净利落。<br>3.为修眉特别设计的斜口镊头,咬合紧密,牢牢夹紧毛发,轻松拔除,免去拉扯的疼痛.<br>4.镊子头咬合紧密,拔眉毛的时候先夹紧,再迅速向后一拉,就轻松地拔掉了.<br>德国双立人设计的个人护理套装，结合德国，意大利设计师的智慧。全不锈钢的TWINOX配件，适合不同习惯与需要的组合，令你容光焕发，仪表更出众。    </div><img width='100%' src='https://gdp.alicdn.com/imgextra/i4/2115745306/TB2H15OeVXXXXcOXXXXXXXXXXXX_!!2115745306.jpg'>",No,,,0,,,,,双立人 眉镊眉毛钳眉毛夹 斜头                     ,双立人 眉镊眉毛钳眉毛夹 斜头                     ,双立人 眉镊眉毛钳眉毛夹 斜头                      - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,双立人-眉镊眉毛钳眉毛夹-斜头-,,,Product Info Column,,12.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,,                       ,                       .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_78705-201-0,base,Manicure,simple,[Chinese Category]/美妆护肤/美妆工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 脚皮刀 硬皮刀 白色 10个刀片</h1><br>尺寸:带齿总长140mm<br>专业去除脚板底、脚后跟老茧死皮，内附带10个刀片，共11个刀片。    </div><img width='100%' src='https://gdp.alicdn.com/imgextra/i4/2115745306/TB2H15OeVXXXXcOXXXXXXXXXXXX_!!2115745306.jpg'>",No,,,0,,,,,去死皮刀+K1,去死皮刀+K1,去死皮刀+K1 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,去死皮刀-K1,,,Product Info Column,,17.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,,+K1,+K1.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_42440-000-0,base,Manicure,simple,[Chinese Category]/美妆护肤/美妆工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Beauty系列 指甲钳金属礼盒</h1><br>尺寸:长度60mm, 宽度13mm,厚度3.5mm<br>安全新颖的开启设计，高科技的锋利刃口，可用单手打开，便于随身携带<br><h3>特点：</h3>高科技的锋利刃口，上下咬合完全平齐，剪甲弧度合理。<br>打开后,内部附有指甲锉,设计精巧;<br>研磨车削纹路匀称美观,边缘不砢手,钢字及logo清晰工整    </div><img width='100%' src='https://gdp.alicdn.com/imgextra/i4/2115745306/TB2H15OeVXXXXcOXXXXXXXXXXXX_!!2115745306.jpg'>",No,,,0,,,,,双立人 Beauty系列 指甲钳金属礼盒                ,双立人 Beauty系列 指甲钳金属礼盒                ,双立人 Beauty系列 指甲钳金属礼盒                 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,双立人-Beauty系列-指甲钳金属礼盒-,,,Product Info Column,,35.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Beauty                 , Beauty                 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_97106-004-0,base,Manicure,simple,[Chinese Category]/美妆护肤/美妆工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Manicure 亚洲美手套2件套 黑色</h1><br>尺寸:45×80mm<br>包含: 指甲钳、耳鼻毛修剪器<br>ZWILLING双立人亚洲美手套,2件套,黑色(指甲钳 耳鼻毛修剪器)饮食男女为悦己者容-亚洲美手套系列双立人的品质工艺与上乘不锈钢材料相结合，造就了经久不衰的TWINOX系列双立人美甲产品；结合德国、意大利、中国设计师智慧凭借超过280年的技术和经验，为中国市场量身定做亚洲美手套精选意大利牛皮，全不锈钢TWINOX配件，真正适合中国人的需求，令您容光焕发，仪表出众！    </div><img width='100%' src='https://gdp.alicdn.com/imgextra/i4/2115745306/TB2H15OeVXXXXcOXXXXXXXXXXXX_!!2115745306.jpg'>",No,,,0,,,,,双立人 Manicure 亚洲美手套2件套 黑色            ,双立人 Manicure 亚洲美手套2件套 黑色            ,双立人 Manicure 亚洲美手套2件套 黑色             - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,双立人-Manicure-亚洲美手套2件套-黑色-,,,Product Info Column,,97.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Manicure 2             , Manicure 2             .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_97103-004-0,base,Manicure,simple,[Chinese Category]/美妆护肤/美妆工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Manicure 亚洲美手套装，8件套，黑色</h1><br>尺寸:140×100mm<br>包含:指甲及表皮剪、指甲钳、眉镊、指甲刀、指甲锉、表皮推修及指甲清洁器、钳型指甲钳、挖耳器。    </div><img width='100%' src='https://gdp.alicdn.com/imgextra/i4/2115745306/TB2H15OeVXXXXcOXXXXXXXXXXXX_!!2115745306.jpg'>",No,,,0,,,,,双立人 Manicure 亚洲美手套装，8件套，黑色          ,双立人 Manicure 亚洲美手套装，8件套，黑色          ,双立人 Manicure 亚洲美手套装，8件套，黑色           - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,双立人-Manicure-亚洲美手套装，8件套，黑色-,,,Product Info Column,,329.00,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Manicure 8          , Manicure 8          .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_97093-002-0,base,Manicure,simple,[Chinese Category]/美妆护肤/美妆工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Manicure 新亚洲美手套装指甲刀 7件套, 红色</h1><br>尺寸:180 x 94毫米<br><h3>内含:</h3>1：组合指甲剪，毛丝，不锈钢，90毫米 <br>2：蓝宝石指甲锉，不锈钢毛丝，不锈钢，130毫米<br>3：角质层刀，光洁度，不锈钢<br>4：双仪，光洁度，不锈钢，125毫米<br>5：指甲钳，光洁度，不锈钢，120毫米<br>6：镊子，倾斜，毛丝，不锈钢，90毫米<br>7：指甲钳，光洁度，不锈钢60毫米<br>    </div><img width='100%' src='https://gdp.alicdn.com/imgextra/i4/2115745306/TB2H15OeVXXXXcOXXXXXXXXXXXX_!!2115745306.jpg'>",No,,,0,,,,,"双立人 Manicure 新亚洲美手套装指甲刀 7件套, 红色     ","双立人 Manicure 新亚洲美手套装指甲刀 7件套, 红色     ","双立人 Manicure 新亚洲美手套装指甲刀 7件套, 红色      - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,双立人-Manicure-新亚洲美手套装指甲刀-7件套-红色-,,,Product Info Column,,309.00,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,," Manicure  7,      "," Manicure  7,      .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_97317-004-0,base,Manicure,simple,[Chinese Category]/美妆护肤/美妆工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Manicure 美容套装包 立式</h1><br>公元1731年6月13日，时值西历双子星座,双立人标志在德国莱茵河畔的小镇索林根诞生。由于当时还没有商标局，双立人标志在当地一间教堂内公告。这是人类历史上最古老的商标之一。<br>世界上最好的钢材，艺术之国的工艺设计，日耳曼民族特有的严谨与精湛手工艺……雄心勃勃的双立人早在1783年就建成了自己的炼钢厂与钢材实验室，用来研究不锈钢的组合。<br>双立人的优质刀剪餐具大获成功，几乎囊括了所有世界性的奖项，美誉传遍全球。双立人在德国、西班牙、中国和日本拥有生产基地。<br>除了厨房刀具，各类剪刀各式西餐具外，更逐步延伸至锅具,炊具，不锈钢桌面产品，德国军刀，美甲产品等，成为优质不锈钢制品领域内的行业领导与先锋。<br>继1995年成功设立刀剪餐具工厂后，2001年德国双立人又在中国成立锅具合资公司，将世界级的锅具产品介绍给中国消费者，双立人锅具在中国一经推出即大获成功。现在双立人在全国各地的高级百货店均设有专柜。<br>    </div><img width='100%' src='https://gdp.alicdn.com/imgextra/i4/2115745306/TB2H15OeVXXXXcOXXXXXXXXXXXX_!!2115745306.jpg'>",No,,,0,,,,,双立人 Manicure 美容套装包 立式               ,双立人 Manicure 美容套装包 立式               ,双立人 Manicure 美容套装包 立式                - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,双立人-Manicure-美容套装包-立式-,,,Product Info Column,,89.00,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Manicure                 , Manicure                 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_97092-002-0,base,Manicure,simple,[Chinese Category]/美妆护肤/美妆工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Manicure 美容套装包, 红色</h1><br>尺寸:皮夹尺寸：110 x 70 mm<br><h3>内含五件:</h3>眉毛镊子：90 mm / 3.5 ""<br>全钢銼刀：130 mm / 5 ""<br>修皮剪：31/2"" 90 mm / 3.5""<br>双头推修器：130 mm / 5 ""<br>指甲剪：60mm*13mm*4.5mm<br>精选意大利牛皮，全不锈钢WINOX配件    </div><img width='100%' src='https://gdp.alicdn.com/imgextra/i4/2115745306/TB2H15OeVXXXXcOXXXXXXXXXXXX_!!2115745306.jpg'>",No,,,0,,,,,"双立人 Manicure 美容套装包, 红色              ","双立人 Manicure 美容套装包, 红色              ","双立人 Manicure 美容套装包, 红色               - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,双立人-Manicure-美容套装包-红色-,,,Product Info Column,,179.00,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,," Manicure ,               "," Manicure ,               .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_42450-000-0,base,Manicure,simple,[Chinese Category]/美妆护肤/美妆工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Multi Tool 萬用刀</h1><br>尺寸:長5.8cm，寬1.7cm、指甲鉗︰刀頭寬1cm、小刀︰刀刃長3.5cm、小銼刀︰銼長3cm、小剪刀︰刀頭長1.5cm、鑰匙環︰直徑2.9cm <br>實用設計，便利於外出時緊急狀況及平日使用，<br>輕巧又易攜帶，<br>附鑰匙圈，便利性高<br>    </div><img width='100%' src='https://gdp.alicdn.com/imgextra/i4/2115745306/TB2H15OeVXXXXcOXXXXXXXXXXXX_!!2115745306.jpg'>",No,,,0,,,,,双立人 Multi Tool 萬用刀                  ,双立人 Multi Tool 萬用刀                  ,双立人 Multi Tool 萬用刀                   - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,双立人-Multi-Tool-萬用刀-,,,Product Info Column,,381.60,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Multi Tool                   , Multi Tool                   .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_42450-001-0,base,Manicure,simple,[Chinese Category]/美妆护肤/美妆工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Multi-Tool 萬用刀 不锈钢</h1><br>尺寸:長5.8cm，寬1.7cm、指甲鉗︰刀頭寬1cm、小刀︰刀刃長3.5cm、小銼刀︰銼長3cm、小剪刀︰刀頭長1.5cm、鑰匙環︰直徑2.9cm <br>實用設計，便利於外出時緊急狀況及平日使用，<br>輕巧又易攜帶，<br>附鑰匙圈，便利性高<br>    </div><img width='100%' src='https://gdp.alicdn.com/imgextra/i4/2115745306/TB2H15OeVXXXXcOXXXXXXXXXXXX_!!2115745306.jpg'>",No,,,0,,,,,双立人 Multi-Tool 萬用刀 不锈钢              ,双立人 Multi-Tool 萬用刀 不锈钢              ,双立人 Multi-Tool 萬用刀 不锈钢               - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,双立人-Multi-Tool-萬用刀-不锈钢-,,,Product Info Column,,19.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Multi-Tool                , Multi-Tool                .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_78716-001-0,base,Manicure,simple,[Chinese Category]/美妆护肤/美妆工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Pedro 脚部硬皮锉 死皮锉</h1><br>尺寸:230mm <br>双立人老皮挫，死皮搓，去死皮老皮<br>做工精致，手感好<br>比起去老皮刀这是比较温和舒适的去老皮的工具<br>    </div><img width='100%' src='https://gdp.alicdn.com/imgextra/i4/2115745306/TB2H15OeVXXXXcOXXXXXXXXXXXX_!!2115745306.jpg'>",No,,,0,,,,,双立人 Pedro 脚部硬皮锉 死皮锉                 ,双立人 Pedro 脚部硬皮锉 死皮锉                 ,双立人 Pedro 脚部硬皮锉 死皮锉                  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,双立人-Pedro-脚部硬皮锉-死皮锉-,,,Product Info Column,,19.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Pedro                   , Pedro                   .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_97203-004-0,base,Manicure,simple,[Chinese Category]/美妆护肤/美妆工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Rahmen-美容套装包 5件套</h1><br>公元1731年6月13日，时值西历双子星座,双立人标志在德国莱茵河畔的小镇索林根诞生。由于当时还没有商标局，双立人标志在当地一间教堂内公告。这是人类历史上最古老的商标之一。<br>世界上最好的钢材，艺术之国的工艺设计，日耳曼民族特有的严谨与精湛手工艺……雄心勃勃的双立人早在1783年就建成了自己的炼钢厂与钢材实验室，用来研究不锈钢的组合。<br>双立人的优质刀剪餐具大获成功，几乎囊括了所有世界性的奖项，美誉传遍全球。双立人在德国、西班牙、中国和日本拥有生产基地。<br>除了厨房刀具，各类剪刀各式西餐具外，更逐步延伸至锅具,炊具，不锈钢桌面产品，德国军刀，美甲产品等，成为优质不锈钢制品领域内的行业领导与先锋。<br>继1995年成功设立刀剪餐具工厂后，2001年德国双立人又在中国成立锅具合资公司，将世界级的锅具产品介绍给中国消费者，双立人锅具在中国一经推出即大获成功。现在双立人在全国各地的高级百货店均设有专柜。<br>    </div><img width='100%' src='https://gdp.alicdn.com/imgextra/i4/2115745306/TB2H15OeVXXXXcOXXXXXXXXXXXX_!!2115745306.jpg'>",No,,,0,,,,,双立人 Rahmen-美容套装包 5件套                ,双立人 Rahmen-美容套装包 5件套                ,双立人 Rahmen-美容套装包 5件套                 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,双立人-Rahmen-美容套装包-5件套-,,,Product Info Column,,99.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Rahmen- 5                , Rahmen- 5                .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
